what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945046671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945046687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945046843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945065203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945075453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945075453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945075609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945112625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945136281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945352796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945432812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945455625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945652562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945652562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945652843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945664000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945709234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945709250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945709390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945720984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945768000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945768000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945768125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945770468
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304945953500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945961656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945962484
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304945968578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945985921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304945996625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946016609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946025250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946034312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946034312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946034546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946074500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946105359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946105359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946105515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946107468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946111546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946128671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946129609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946163828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946253500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946253515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946253859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946271515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946275328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946294578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946301859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946301859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946302046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946401250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946425906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946428093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946428859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946438125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946450437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946450437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946450593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946453625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946466203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946471609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946603906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946611468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946624515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946637343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946665281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946667984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946686125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946686125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946686265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946711906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946781062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946781062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946781265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946786359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946802546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946815562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946822890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946822906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946823031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946833609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946847250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946854468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946865593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946880265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304946882515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304946883156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946889843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946898484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946909375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946919750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946920562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946920562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946920718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946940171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946948578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946951500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946952250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304946957062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947056671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947061031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947080515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947087093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947166500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947172609
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1304947176343
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304947177656
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304947190640
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1304947192671
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1304947200171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304947200296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947231046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947234890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947248625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947252250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947273312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947291328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947302406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947332062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947336640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947341562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947347171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947351718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947369875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947372109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947406218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947425125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947437109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947437109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947437265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947485640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947486937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947489000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947540140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947543046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947548781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947563640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947574906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947574921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947575125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947621843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947638531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947644687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947676687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947680421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947681437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947681437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947681593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947684250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947692812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947700234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947706546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947709875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947723656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947726687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304947736250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947742031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947762812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947772593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947772609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947773109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947774562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947774953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947774953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947775140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947788546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947791484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947908718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947919656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947919656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304947919984
