what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350434343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350505125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350510656
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305350514687
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1305350527406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350529328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350530234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350531015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350531015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350531171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350543078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350572468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350575734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350583953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350587765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350600578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350603671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350611343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350617000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350630343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350634328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350646421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350648781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350683156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350685500
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1305350731828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1305350731906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1305350734187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350736250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350739250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350749359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350757500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350767109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350769359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350774546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350776734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350792703
